Anio,1,2,3,4,5,6,7,8,9,10,11,12
1970,3.04,1.05,0.89,-2.67,1.79,2.7,3.61,7.42,10.87,10.4,12.57,10.56
1971,12.18,11.93,12.29,14.01,12.53,11.05,12.43,8.49,4.6,5.38,4.81,6.3
1972,6.82,8.88,8.21,5.65,5.94,9.2,8.85,7.82,8.56,7.3,7.49,5.69
1973,7.57,6.99,8.51,12.09,13.32,11.16,10.38,11.79,12.84,16.33,16.4,17.71
1974,17.36,20.48,23.94,27.39,24.54,22.34,22.09,23.12,23.95,21.05,23.55,22.29
1975,23.6,21.52,17.09,12.05,12.58,14.57,14.57,13.18,12.24,11.92,9.69,10.9
1976,9.7,8.18,6.42,6.4,7.79,9.65,11.4,10.63,10.9,14.1,13.53,13.06
1977,12.57,12.24,12.76,13.8,14.46,12.67,11.42,13.42,13.84,13.49,12.3,12.42
1978,13.25,14.22,14.96,14.77,14.54,14.79,14.84,12.76,11.82,9.56,11.62,10.72
1979,10.4,10.62,11.22,9.94,11.13,10.63,10.36,10.29,8.84,9.13,8.91,10.08
1980,10.5,10.28,10.56,12.46,12.45,12.2,13.48,12.97,13.73,11.8,11.49,10.88
1981,10.39,12.58,13.34,12.94,13.41,13.62,12.29,13.79,14.04,16.71,17.81,17.25
1982,16.73,14.3,12.45,12.51,11.38,12.5,14.44,15.97,16.77,20.58,22.25,24.41
1983,28.26,30.28,32.61,37.08,45.22,51.4,56.47,59.7,63.44,61.08,55.75,52.47
1984,49.7,48.79,47.96,44.73,36.95,30.21,25.17,22.65,19.92,19.14,22.93,25.07
1985,29.94,29.13,28.32,28.83,28.77,30.55,30.91,28.79,27.9,25.85,23.8,24.37
1986,20.72,22.36,22.5,21.26,20.8,19.84,18.89,21.93,23.93,27.51,28.28,27.35
1987,25.51,25.51,29.47,29.54,30.26,31.7,31.95,29.77,29.17,27.25,30.59,32.48
1988,34.35,37.57,36.69,43.32,48.01,49.89,55.73,62.95,71.49,77.39,80.45,85.71
1989,89.42,90.93,99.12,91.26,84.64,84.35,78.15,72.85,68.69,64.18,59.16,54.25
1990,51.97,50.24,43.65,46.23,48.9,47.66,50.33,48.87,46.95,48.27,49.85,49.52
1991,50.45,49.36,48.99,47.15,49.05,48.99,46.96,48.57,50.11,49.62,46.8,48.98
1992,48.91,48.3,46.73,49.62,48.84,50.45,51.79,52.29,61.06,65.86,63.89,60.22
1993,58.46,55.83,56.06,53.62,54.82,52.14,49.94,46.1,35.54,31.52,32.29,30.96
1994,29.14,32.03,31.62,30.82,26.89,26.52,25.78,27.18,26.24,23.83,24.5,25.38
1995,26.9,23.47,22.67,22.16,22.86,22.47,22.54,21.98,22.82,22.93,22.19,22.77
1996,22.08,23.7,24.81,25.14,22.41,22.76,24.06,25.17,25.02,25.39,26.21,25.62
1997,30.58,31.76,29.92,28.91,31.24,31.11,31.52,30.71,30.63,30.99,29.91,30.67
1998,27.68,29.01,30.63,33.61,33.91,35.91,34.23,34.16,37.76,44.03,45,43.4
1999,42.27,39.73,54.34,56.08,54.72,53.05,56.47,55.29,50.39,47.15,53.37,60.71
2000,78.07,90.84,80.88,88.88,96.87,103.68,102.34,104.01,107.87,104.93,96.8,91
2001,78.69,67.12,58.78,46.55,39.61,33.2,30.43,29.24,27.2,25.31,24.62,22.44
2002,16.53,14.44,13.24,12.99,13.36,13.25,12.9,12.9,11.28,10.7,9.71,9.36
2003,10.09,9.76,9.15,8.59,8.25,7.62,7.72,7.32,7.55,6.86,6.48,6.07
2004,3.92,3.84,3.98,3.65,2.97,2.87,2.2,2.17,1.6,1.88,1.97,1.95
2005,1.78,1.36,0.92,1.11,1.77,2.15,2.63,2.45,2.95,3.02,2.76,3.13
2006,3.37,3.82,4.23,3.43,3.11,2.8,2.99,3.36,3.21,3.21,3.21,2.87
2007,2.68,2.03,1.47,1.39,1.56,2.19,2.58,2.44,2.58,2.36,2.7,3.32
2008,4.19,5.1,6.56,8.18,9.29,9.69,9.87,10.02,9.97,9.85,9.13,8.83
2009,8.36,7.85,7.44,6.52,5.41,4.54,3.85,3.33,3.29,3.5,4.02,4.31
2010,4.44,4.31,3.35,3.21,3.24,3.3,3.4,3.82,3.44,3.46,3.39,3.33
2011,3.17,3.39,3.57,3.88,4.23,4.28,4.44,4.84,5.39,5.5,5.53,5.41
2012,5.29,5.53,6.12,5.42,4.85,5,5.09,4.88,5.22,4.94,4.77,4.16
2013,4.1,3.48,3.01,3.03,3.01,2.68,2.39,2.27,1.71,2.04,2.3,2.7
2014,2.92,2.85,3.11,3.23,3.41,3.67,4.11,4.15,4.19,3.98,3.76,3.67
2015,3.53,4.05,3.76,4.32,4.55,4.87,4.36,4.14,3.78,3.48,3.4,3.38
2016,3.09,2.6,2.32,1.78,1.63,1.59,1.58,1.42,1.3,1.31,1.05,1.12
2017,0.9,0.96,0.96,1.09,1.1,0.16,0.1,0.28,-0.03,-0.09,-0.22,-0.2
2018,-0.09,-0.14,-0.21,-0.78,-1.01,-0.71,-0.57,-0.32,0.23,0.33,0.35,0.27
2019,0.54,0.16,-0.12,0.19,0.37,0.61,0.71,0.33,-0.07,0.5,0.04,-0.07
2020,-0.3,-0.23,0.18,1.01,0.75,0.17,-0.54,-0.76,-0.9,-1.6,-0.91,-0.93
2021,-1.04,-0.81,-0.83,-1.47,-1.13,-0.69,,,,,,
